,name,company,year,Price,kms_driven,fuel_type
83,FordEcoSport,Ford,2017,489999,39000,Petrol
84,HondaBrio,Honda,2012,224999,30000,Petrol
86,VolkswagenVentoHighline,Volkswagen,2019,1200000,3600,Diesel
87,Hyundaii20Magna,Hyundai,2009,195000,32000,Petrol
88,ToyotaCorollaAltis,Toyota,2010,351000,38000,Diesel
89,HyundaiVernaTransform,Hyundai,2008,160000,45000,Petrol
90,ToyotaCorollaAltis,Toyota,2009,240000,35000,Petrol
91,HondaCity1.5,Honda,2005,90000,50000,Petrol
92,HyundaiElitei20,Hyundai,2014,415000,32000,Petrol
93,SkodaFabia1.2L,Skoda,2011,155000,45863,Diesel
94,BMW3Series,BMW,2011,600000,60500,Petrol
95,MarutiSuzukiA,Maruti,2011,189500,12500,Petrol
96,ToyotaEtiosGD,Toyota,2013,350000,60000,Diesel
97,FordFigoDiesel,Ford,2012,210000,35000,Diesel
98,MarutiSuzukiSwift,Maruti,2014,390000,35000,Petrol
99,ChevroletBeatLT,Chevrolet,2012,135000,45000,Diesel
100,BMW7Series,BMW,2009,1600000,35000,Petrol
101,MahindraXUV500W8,Mahindra,2013,701000,38000,Diesel
102,Hyundaii10Magna,Hyundai,2014,265000,18000,Petrol
103,HyundaiVernaFluidic,Hyundai,2015,525000,35000,Diesel
104,MarutiSuzukiSwift,Maruti,2013,372000,13349,Petrol
105,MarutiSuzukiErtiga,Maruti,2016,635000,29000,Petrol
106,FordEcoSportTitanium,Ford,2014,550000,44000,Diesel
107,MarutiSuzukiErtiga,Maruti,2016,575000,29000,Petrol
108,MarutiSuzukiErtiga,Maruti,2013,485000,42000,Diesel
109,MarutiSuzukiAlto,Maruti,2012,155000,14000,Petrol
110,HyundaiGrandi10,Hyundai,2014,345000,49000,Diesel
111,HondaAmaze1.2,Honda,2014,325000,42000,Petrol
112,Hyundaii20Asta,Hyundai,2012,329500,36200,Diesel
113,FordFigoDiesel,Ford,2014,195000,50000,Diesel
114,MarutiSuzukiEeco,Maruti,2015,251111,55000,Petrol
115,MarutiSuzukiErtiga,Maruti,2014,569999,45000,Petrol
116,MarutiSuzukiEsteem,Maruti,2007,69999,51000,Petrol
117,MarutiSuzukiRitz,Maruti,2014,299999,19000,Petrol
118,MarutiSuzukiDzire,Maruti,2009,220000,46000,Petrol
119,MarutiSuzukiRitz,Maruti,2013,399999,33000,Diesel
120,MarutiSuzukiSwift,Maruti,2013,372000,13349,Petrol
121,MarutiSuzukiDzire,Maruti,2015,450000,104000,Diesel
122,ToyotaEtiosLiva,Toyota,2014,270000,55000,Petrol
123,Hyundaii20Sportz,Hyundai,2011,350000,33333,Diesel
124,ChevroletSpark,Chevrolet,2012,158400,33600,Petrol
125,MarutiSuzukiAlto,Maruti,2017,350000,5600,Petrol
126,NissanMicraXV,Nissan,2011,179000,41000,Petrol
127,MarutiSuzukiSwift,Maruti,2007,125000,70000,Petrol
128,MarutiSuzukiAlto,Maruti,2018,200000,7500,Petrol
129,HondaAmaze1.5,Honda,2013,299000,45000,Diesel
130,MarutiSuzukiAlto,Maruti,2015,220000,38000,Petrol
131,ChevroletBeat,Chevrolet,2015,150000,30000,Petrol
133,HondaCity1.5,Honda,2010,285000,35000,Petrol
134,FordEcoSportTrend,Ford,2016,830000,24330,Diesel
135,Hyundaii20Asta,Hyundai,2009,210000,65480,Petrol
136,MarutiSuzukiSwift,Maruti,2013,340000,41000,Petrol
137,TataIndicaV2,Tata,2006,90000,20000,Petrol
139,HindustanMotorsAmbassador,Hindustan,2000,70000,200000,Diesel
140,ToyotaCorollaAltis,Toyota,2010,289999,70000,Petrol
141,ToyotaCorollaAltis,Toyota,2012,349999,59000,Petrol
142,ToyotaInnova2.5,Toyota,2012,849999,99000,Diesel
143,VolkswagenJettaHighline,Volkswagen,2014,749999,46000,Diesel
144,VolkswagenPoloComfortline,Volkswagen,2015,399999,2800,Petrol
145,VolkswagenPolo,Volkswagen,2014,274999,32000,Petrol
146,MahindraScorpio,Mahindra,2015,984999,22000,Diesel
147,RenaultDuster,Renault,2014,449999,50000,Diesel
148,HondaAmaze,Honda,2015,344999,22000,Petrol
149,NissanSunny,Nissan,2012,224999,45000,Petrol
150,HyundaiElitei20,Hyundai,2018,599999,21000,Petrol
151,RenaultKwid,Renault,2016,244999,11000,Petrol
152,RenaultDuster,Renault,2013,399999,41000,Diesel
153,FordEcoSport,Ford,2017,489999,39000,Petrol
154,RenaultDuster,Renault,2014,474999,50000,Diesel
155,MahindraScorpioVLX,Mahindra,2011,499999,66000,Diesel
156,MarutiSuzukiAlto,Maruti,2018,310000,3000,Petrol
157,ChevroletSparkLT,Chevrolet,2010,85000,45000,Petrol
158,DatsunRediGO,Datsun,2016,245000,7000,Petrol
159,MarutiSuzukiSwift,Maruti,2010,189500,38500,Diesel
160,FiatPuntoEmotion,Fiat,2012,169500,37200,Diesel
161,MarutiSuzukiSwift,Maruti,2010,159500,43200,Diesel
162,ToyotaEtiosGD,Toyota,2013,275000,24800,Petrol
163,Hyundaii20Sportz,Hyundai,2014,370000,60000,Diesel
164,Hyundaii10Sportz,Hyundai,2010,168000,45872,Petrol
165,ChevroletBeatLT,Chevrolet,2011,150000,40000,Diesel
166,ChevroletBeatLS,Chevrolet,2011,145000,45000,Diesel
167,ChevroletBeatLT,Chevrolet,2012,98500,38000,Diesel
168,MahindraScorpioVLX,Mahindra,2014,699000,50000,Diesel
169,TataIndigoCS,Tata,2011,85000,11400,Diesel
170,ToyotaCorollaAltis,Toyota,2015,575000,42000,Petrol
171,HondaCity1.5,Honda,2014,549000,39000,Petrol
172,MarutiSuzukiSwift,Maruti,2011,209000,47000,Diesel
173,HyundaiEonEra,Hyundai,2013,185000,27000,Petrol
174,MahindraScorpioS10,Mahindra,2015,900000,97200,Diesel
175,MahindraXUV500,Mahindra,2014,699999,52000,Diesel
176,HondaBrio,Honda,2012,224999,30000,Petrol
177,FordFiesta,Ford,2011,274999,55000,Diesel
178,HondaAmaze,Honda,2013,284999,46000,Diesel
179,HondaCity,Honda,2015,599999,30000,Diesel
180,MarutiSuzukiWagon,Maruti,2012,199999,44000,Petrol
181,HondaCity,Honda,2014,544999,45000,Diesel
182,Hyundaii20,Hyundai,2009,199000,31000,Petrol
183,TataIndigoeCS,Tata,2016,320000,175430,Diesel
184,HyundaiFluidicVerna,Hyundai,2015,540000,38000,Diesel
186,MahindraQuantoC8,Mahindra,2013,340000,37000,Diesel
187,FiatPetraELX,Fiat,2008,75000,65000,Petrol
188,SkodaFabia1.2L,Skoda,2011,159500,38200,Diesel
189,MiniCooperS,Mini,2013,1891111,13000,Petrol
190,HyundaiSantroXing,Hyundai,2005,49000,7500,Petrol
191,MarutiSuzukiCiaz,Maruti,2016,700000,3350,Petrol
192,MarutiSuzukiZen,Maruti,2000,55000,60000,Petrol
193,HondaCity,Honda,2015,448999,54000,Petrol
194,HyundaiCreta1.6,Hyundai,2017,895000,32000,Petrol
196,MahindraScorpioSLX,Mahindra,2007,355000,75000,Diesel
197,MahindraScorpioSLE,Mahindra,2012,565000,62000,Diesel
198,ToyotaInnova2.5,Toyota,2006,365000,73000,Diesel
199,MarutiSuzukiAlto,Maruti,2011,145000,41000,Petrol
200,MarutiSuzukiWagon,Maruti,2011,210000,35000,Petrol
201,TataNanoCx,Tata,2013,40000,2200,Petrol
202,MarutiSuzukiAlto,Maruti,2013,125000,39000,Petrol
203,MarutiSuzukiWagon,Maruti,2009,135000,45000,Petrol
204,MarutiSuzukiSwift,Maruti,2006,135000,45000,Petrol
205,TataSumoVicta,Tata,2012,285000,65000,Diesel
207,MarutiSuzukiWagon,Maruti,2010,145000,54870,Petrol
208,MarutiSuzukiAlto,Maruti,2010,135000,34580,Petrol
209,VolkswagenPassatDiesel,Volkswagen,2009,450000,97000,Diesel
210,RenaultScalaRxL,Renault,2015,375000,25000,Diesel
211,MahindraQuantoC8,Mahindra,2013,375000,20000,Diesel
212,HyundaiGrandi10,Hyundai,2014,365000,20000,Petrol
213,Hyundaii20Active,Hyundai,2015,500000,18000,Petrol
214,MahindraXyloE4,Mahindra,2012,400000,35000,Diesel
215,MahindraJeepMM,Mahindra,2019,390000,60,Diesel
216,RenaultDuster110PS,Renault,2012,501000,35000,Diesel
217,MahindraBoleroSLE,Mahindra,2013,330000,80200,Diesel
218,ForceMotorsForce,Force,2015,580000,3200,Diesel
219,MarutiSuzukiSX4,Maruti,2012,265000,46000,Diesel
220,MahindraJeepCL550,Mahindra,2019,379000,0,Diesel
221,MarutiSuzukiAlto,Maruti,2015,219000,5000,Petrol
222,MahindraJeepCL550,Mahindra,2018,385000,588,Diesel
223,ToyotaEtios,Toyota,2011,275000,36000,Diesel
224,VolkswagenPolo,Volkswagen,2015,330000,38000,Diesel
225,HondaCityZX,Honda,2008,110000,45000,Petrol
226,MarutiSuzukiWagon,Maruti,2006,80000,71200,Petrol
227,HondaCityVX,Honda,2016,519000,52000,Diesel
228,MahindraTharCRDe,Mahindra,2016,730000,29000,Diesel
229,MitsubishiPajeroSport,Mitsubishi,2015,1475000,47000,Diesel
230,AudiA41.8,Audi,2009,699000,47000,Petrol
231,MercedesBenzGLA,Mercedes,2015,2000000,20000,Diesel
232,LandRoverFreelander,Land,2015,2100000,30000,Diesel
233,RenaultKwidRXT,Renault,2017,340000,5000,Petrol
234,TataAriaPleasure,Tata,2014,390000,35000,Diesel
235,MercedesBenzB,Mercedes,2014,1400000,31000,Petrol
236,DatsunGOT,Datsun,2016,245000,7000,Petrol
237,TataIndigoeCS,Tata,2016,320000,175430,Diesel
238,TataIndigoeCS,Tata,2016,320000,175400,Diesel
239,HondaJazzVX,Honda,2016,450000,41000,Petrol
240,HondaAmaze1.2,Honda,2014,311000,33000,Petrol
241,HondaAmaze,Honda,2013,284999,46000,Diesel
242,HondaCity,Honda,2012,399999,45000,Petrol
243,HondaCity,Honda,2015,599999,39000,Diesel
244,HondaAmaze,Honda,2015,344999,22000,Petrol
245,AudiA41.8,Audi,2009,699000,47000,Petrol
246,ForceMotorsForce,Force,2015,580000,3200,Diesel
247,MahindraScorpioS4,Mahindra,2015,855000,30000,Diesel
248,Hyundaii20Active,Hyundai,2015,535000,37000,Diesel
249,MiniCooperS,Mini,2013,1891111,13000,Petrol
250,MarutiSuzukiCiaz,Maruti,2017,699000,14000,Petrol
251,ChevroletTaveraNeo,Chevrolet,2013,375000,55000,Diesel
252,HondaAmaze,Honda,2013,284999,46000,Diesel
253,HyundaiEonSportz,Hyundai,2012,178000,30000,Petrol
254,TataSumoGold,Tata,2013,300000,50000,Diesel
255,MarutiSuzukiWagon,Maruti,2003,90000,45000,Petrol
256,MarutiSuzukiEsteem,Maruti,2006,95000,45000,Petrol
257,MarutiSuzukiEeco,Maruti,2015,255000,9300,Petrol
258,ChevroletEnjoy1.4,Chevrolet,2013,245000,55000,Diesel
259,Hyundaii20Asta,Hyundai,2012,329500,36200,Diesel
260,FordFigoDiesel,Ford,2014,195000,50000,Diesel
261,MarutiSuzukiEeco,Maruti,2015,251111,55000,Petrol
262,MarutiSuzukiErtiga,Maruti,2014,569999,45000,Petrol
263,MarutiSuzukiEsteem,Maruti,2007,69999,51000,Petrol
264,MarutiSuzukiRitz,Maruti,2014,299999,19000,Petrol
265,MarutiSuzukiDzire,Maruti,2009,220000,46000,Petrol
266,MarutiSuzukiRitz,Maruti,2013,399999,33000,Diesel
267,MarutiSuzukiSX4,Maruti,2010,249999,36000,Petrol
268,MarutiSuzukiWagon,Maruti,2015,289999,22000,Petrol
269,MiniCooperS,Mini,2013,1891111,13500,Petrol
270,NissanTerranoXL,Nissan,2015,499999,60000,Diesel
271,RenaultDuster85,Renault,2013,489999,27000,Diesel
272,RenaultDuster85,Renault,2014,489999,59000,Diesel
273,RenaultDuster85,Renault,2015,549999,19000,Diesel
274,MarutiSuzukiDzire,Maruti,2013,380000,30000,Petrol
275,RenaultKwidRXT,Renault,2018,325000,15000,Petrol
276,MarutiSuzukiMaruti,Maruti,2003,57000,56758,Petrol
277,RenaultKwid1.0,Renault,2018,349999,10000,Petrol
278,RenaultLodgy85,Renault,2018,689999,20000,Diesel
279,RenaultScalaRxL,Renault,2014,349999,49000,Diesel
280,HyundaiGrandi10,Hyundai,2014,410000,41000,Petrol
281,MarutiSuzukiSwift,Maruti,2011,225000,45000,Petrol
282,ChevroletBeatLS,Chevrolet,2010,120000,43000,Petrol
283,TataIndigoeCS,Tata,2016,320000,175430,Diesel
284,HyundaiSantroXing,Hyundai,2000,59000,56450,Petrol
285,HyundaiFluidicVerna,Hyundai,2015,540000,38000,Diesel
287,ChevroletBeatLS,Chevrolet,2010,80000,56000,Petrol
288,MahindraQuantoC8,Mahindra,2013,340000,37000,Diesel
289,FiatPetraELX,Fiat,2008,75000,65000,Petrol
290,ChevroletBeatLS,Chevrolet,2015,220000,32700,Petrol
291,SkodaFabia1.2L,Skoda,2011,159500,38200,Diesel
292,FordEcoSportTitanium,Ford,2016,599000,30000,Diesel
293,HyundaiAccentGLX,Hyundai,2006,80000,56000,Petrol
296,MahindraTUV300T4,Mahindra,2016,675000,9000,Diesel
297,MiniCooperS,Mini,2013,1891111,13000,Petrol
298,MiniCooperS,Mini,2013,1891111,13000,Petrol
299,TataIndicaV2,Tata,2008,150000,11000,Petrol
300,MiniCooperS,Mini,2013,1891111,13000,Petrol
301,TataIndigoCS,Tata,2009,72500,46000,Diesel
302,MarutiSuzukiSwift,Maruti,2019,610000,73,Petrol
303,MahindraScorpioVLX,Mahindra,2004,230000,160000,Diesel
305,HondaAccord,Honda,2009,175000,58559,Petrol
306,MahindraScorpioS4,Mahindra,2015,855000,30000,Diesel
307,ChevroletTaveraNeo,Chevrolet,2013,375000,55000,Diesel
308,FordEcoSportTitanium,Ford,2014,520000,57000,Diesel
309,MarutiSuzukiErtiga,Maruti,2015,524999,50000,Diesel
310,HondaAmaze,Honda,2014,299999,37000,Petrol
311,MarutiSuzukiDzire,Maruti,2012,299999,40000,Petrol
312,HondaCity,Honda,2011,284999,55000,Petrol
313,MahindraScorpio2.6,Mahindra,2007,220000,170000,Diesel
314,MarutiSuzukiDzire,Maruti,2014,424999,55000,Diesel
315,HondaCity,Honda,2015,644999,39000,Petrol
316,HondaMobilio,Honda,2014,399999,44000,Petrol
317,ToyotaCorollaAltis,Toyota,2009,199999,65000,Petrol
318,HondaCity,Honda,2014,584999,39000,Petrol
319,SkodaLaura,Skoda,2012,349999,44000,Diesel
320,RenaultDuster,Renault,2015,449999,49000,Diesel
321,MarutiSuzukiErtiga,Maruti,2018,799999,9000,Diesel
322,MarutiSuzukiDzire,Maruti,2015,444999,45000,Diesel
323,MahindraXUV500,Mahindra,2014,649999,47000,Diesel
324,HyundaiVernaFluidic,Hyundai,2012,444999,40000,Diesel
325,MarutiSuzukiVitara,Maruti,2016,689999,29000,Diesel
326,MarutiSuzukiWagon,Maruti,2016,344999,15000,Petrol
327,MahindraScorpio,Mahindra,2015,944999,45000,Diesel
328,HondaAmaze,Honda,2014,274999,35000,Petrol
329,MahindraXUV500,Mahindra,2013,689999,80000,Diesel
330,MahindraScorpio,Mahindra,2013,574999,68000,Diesel
331,SkodaLaura,Skoda,2013,374999,50000,Diesel
332,VolkswagenPolo,Volkswagen,2010,199999,60000,Diesel
333,HyundaiElitei20,Hyundai,2016,549999,9000,Petrol
334,TataManzaAura,Tata,2012,130000,72000,Diesel
335,ChevroletSailUVA,Chevrolet,2013,210000,60000,Petrol
336,RenaultDuster110,Renault,2012,501000,38000,Diesel
337,HyundaiVernaFluidic,Hyundai,2013,401000,45000,Diesel
338,AudiA42.0,Audi,2012,1350000,40000,Diesel
339,HyundaiElantraSX,Hyundai,2013,600000,20000,Petrol
340,MahindraScorpioVLX,Mahindra,2013,610000,35000,Diesel
341,MahindraKUV100K8,Mahindra,2016,400000,20000,Diesel
342,RenaultScalaRxL,Renault,2015,375000,25000,Diesel
343,MahindraQuantoC8,Mahindra,2013,375000,20000,Diesel
344,HyundaiGrandi10,Hyundai,2014,365000,20000,Petrol
345,Hyundaii20Active,Hyundai,2015,500000,18000,Petrol
346,MahindraXyloE4,Mahindra,2012,400000,35000,Diesel
347,HyundaiGrandi10,Hyundai,2017,524999,6821,Petrol
348,Hyundaii20,Hyundai,2014,449999,23000,Petrol
349,HyundaiEon,Hyundai,2014,174999,14000,Petrol
350,Hyundaii10,Hyundai,2012,244999,38000,Petrol
351,Hyundaii20Active,Hyundai,2015,574999,35000,Diesel
352,DatsunRediGO,Datsun,2017,244999,22000,Petrol
353,ToyotaEtiosLiva,Toyota,2011,239999,41000,Petrol
354,HyundaiAccent,Hyundai,2010,99999,45000,Petrol
355,HyundaiVerna,Hyundai,2014,489999,44000,Diesel
356,MarutiSuzukiSwift,Maruti,2013,324999,45000,Diesel
357,ToyotaFortuner,Toyota,2011,1074999,52000,Diesel
358,Hyundaii10Sportz,Hyundai,2012,230000,34000,Petrol
359,MahindraBoleroPower,Mahindra,2018,699000,1800,Diesel
361,MahindraXUV500,Mahindra,2015,1000000,15000,Diesel
362,HondaCity1.5,Honda,2010,240000,400000,Petrol
363,ChevroletSparkLT,Chevrolet,2009,110000,44000,Petrol
364,MahindraJeepMM,Mahindra,2019,390000,60,Diesel
365,RenaultDuster110PS,Renault,2012,501000,35000,Diesel
366,MahindraXUV500,Mahindra,2016,1130000,72000,Diesel
367,TataIndigoeCS,Tata,2014,250000,40000,Diesel
369,MahindraBoleroSLE,Mahindra,2013,330000,80200,Diesel
370,ForceMotorsForce,Force,2015,580000,3200,Diesel
371,SkodaRapidElegance,Skoda,2013,340000,48000,Diesel
372,TataVistaQuadrajet,Tata,2011,120000,90000,Diesel
373,MarutiSuzukiAlto,Maruti,2015,265000,12000,Petrol
374,MarutiSuzukiSX4,Maruti,2012,265000,46000,Diesel
375,MarutiSuzukiZen,Maruti,2003,85000,69900,Petrol
376,MahindraJeepCL550,Mahindra,2019,379000,0,Diesel
377,Hyundaii10Magna,Hyundai,2011,175000,45000,Petrol
378,MarutiSuzukiAlto,Maruti,2015,219000,5000,Petrol
379,MarutiSuzukiSwift,Maruti,2016,350000,166000,Diesel
380,HondaCityZX,Honda,2008,149000,42000,Petrol
381,MahindraJeepCL550,Mahindra,2018,385000,588,Diesel
382,MahindraJeepMM,Mahindra,2006,425000,122,Diesel
383,ChevroletBeatDiesel,Chevrolet,2017,150000,62000,Diesel
384,HondaCity1.5,Honda,2010,225000,70000,Petrol
386,HyundaiVerna1.4,Hyundai,2014,375000,36000,Petrol
387,ToyotaInnova2.5,Toyota,2012,770000,0,Diesel
389,MarutiSuzukiMaruti,Maruti,1995,30000,55000,Petrol
390,ToyotaEtios,Toyota,2011,275000,36000,Diesel
391,VolkswagenPolo,Volkswagen,2015,330000,38000,Diesel
392,MarutiSuzukiSwift,Maruti,2014,335000,55000,Diesel
393,HyundaiElitei20,Hyundai,2015,450000,20000,Diesel
394,MarutiSuzukiSwift,Maruti,2012,225000,40000,Petrol
396,MarutiSuzukiVersa,Maruti,2004,80000,50000,Petrol
397,TataIndigoLX,Tata,2016,130000,104000,Diesel
398,VolkswagenVentoKonekt,Volkswagen,2011,245000,65000,Diesel
399,MercedesBenzC,Mercedes,2002,399000,41000,Petrol
400,MarutiSuzukiErtiga,Maruti,2013,450000,90000,Diesel
402,HondaCity,Honda,2000,65000,80000,Petrol
403,HyundaiSantroXing,Hyundai,2006,75000,46000,Petrol
404,MarutiSuzukiOmni,Maruti,2001,70000,70000,Petrol
405,HyundaiSonataTransform,Hyundai,2017,190000,36469,Diesel
406,HyundaiElitei20,Hyundai,2018,600000,7800,Petrol
407,VolkswagenVentoKonekt,Volkswagen,2011,245000,65000,Diesel
408,MarutiSuzukiAlto,Maruti,2017,240000,60000,Petrol
409,MarutiSuzukiAlto,Maruti,2011,155000,32000,Petrol
410,HondaJazzS,Honda,2009,169999,24695,Petrol
411,HyundaiGrandi10,Hyundai,2017,450000,15141,Petrol
412,MarutiSuzukiZen,Maruti,2001,40000,40000,Petrol
413,MahindraScorpioW,Mahindra,2012,165000,65000,Diesel
415,MarutiSuzukiAlto,Maruti,2014,270000,22000,Petrol
416,HyundaiGrandi10,Hyundai,2016,280000,59910,Diesel
417,MahindraXUV500W8,Mahindra,2012,560000,100000,Diesel
418,HyundaiCreta1.6,Hyundai,2016,950000,25000,Petrol
419,Hyundaii20Magna,Hyundai,2013,310000,35000,Petrol
420,RenaultDuster85,Renault,2015,715000,65000,Diesel
421,HyundaiGrandi10,Hyundai,2014,340000,35000,Petrol
422,HondaBrioV,Honda,2012,235000,33000,Petrol
423,MahindraTUV300T4,Mahindra,2017,610000,68000,Diesel
424,ChevroletSparkLS,Chevrolet,2010,95000,23000,Petrol
425,MahindraTUV300T8,Mahindra,2018,1000000,4500,Diesel
426,MarutiSuzukiSwift,Maruti,2015,220000,129000,Diesel
427,NissanXTrail,Nissan,2019,1200000,300,Diesel
428,MarutiSuzukiAlto,Maruti,2015,230000,5000,Petrol
429,FordIkon1.3,Ford,2001,45000,65000,Petrol
430,ToyotaFortuner3.0,Toyota,2010,940000,131000,Diesel
431,TataManzaELAN,Tata,2010,155555,111111,Petrol
434,MercedesBenzA,Mercedes,2013,1500000,14000,Petrol
435,ChevroletBeatLS,Chevrolet,2016,210000,22000,Diesel
436,FordEcoSportTrend,Ford,2013,495000,38000,Diesel
437,TataIndigoLS,Tata,2016,125000,70000,Diesel
438,Hyundaii20Magna,Hyundai,2010,195000,36000,Petrol
439,VolkswagenVentoHighline,Volkswagen,2015,550000,34000,Diesel
440,RenaultKwidRXT,Renault,2015,270000,43000,Petrol
442,FordEcoSportTitanium,Ford,2014,500000,40000,Diesel
443,HondaAmaze1.5,Honda,2016,240000,160000,Diesel
444,HyundaiVerna1.6,Hyundai,2017,800000,12000,Petrol
445,BMW5Series,BMW,2011,1299000,49000,Diesel
446,SkodaSuperb1.8,Skoda,2011,530000,68000,Petrol
447,AudiQ32.0,Audi,2013,1499000,37000,Diesel
448,MahindraBoleroDI,Mahindra,2012,220000,59466,Diesel
450,MahindraScorpioS10,Mahindra,2015,900000,97200,Diesel
451,FordFigoDuratorq,Ford,2012,250000,99000,Diesel
452,MarutiSuzukiWagon,Maruti,2018,395000,25500,Petrol
453,MahindraLoganDiesel,Mahindra,2009,130000,66000,Petrol
454,TataNanoGenX,Tata,2010,32000,44005,Petrol
455,MahindraTUV300T4,Mahindra,2016,540000,35000,Diesel
456,MahindraTUV300T4,Mahindra,2016,540000,35000,Diesel
457,HyundaiElitei20,Hyundai,2015,405000,28000,Petrol
458,HyundaiElitei20,Hyundai,2015,400000,30000,Petrol
